[Name]
Series 1 for Case Mesh 4 at /LINE:Axial location 2

[Data]
Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+000, 1.74597752e+000
1.01010106e-003, 1.74583888e+000
2.02020211e-003, 1.74570012e+000
3.03030317e-003, 1.74556148e+000
4.04040422e-003, 1.74542272e+000
5.05050551e-003, 1.74524033e+000
6.06060680e-003, 1.74438155e+000
7.07070809e-003, 1.74352264e+000
8.08080938e-003, 1.74266362e+000
9.09091067e-003, 1.74180484e+000
1.01010120e-002, 1.74086237e+000
1.11111132e-002, 1.73931527e+000
1.21212145e-002, 1.73776805e+000
1.31313158e-002, 1.73622084e+000
1.41414171e-002, 1.73467374e+000
1.51515184e-002, 1.73297071e+000
1.61616188e-002, 1.73056746e+000
1.71717200e-002, 1.72816420e+000
1.81818213e-002, 1.72576118e+000
1.91919226e-002, 1.72335792e+000
2.02020239e-002, 1.72069240e+000
2.12121252e-002, 1.71720648e+000
2.22222265e-002, 1.71372068e+000
2.32323278e-002, 1.71023464e+000
2.42424291e-002, 1.70674884e+000
2.52525304e-002, 1.70285177e+000
2.62626316e-002, 1.69800925e+000
2.72727329e-002, 1.69316649e+000
2.82828342e-002, 1.68832397e+000
2.92929355e-002, 1.68348134e+000
3.03030368e-002, 1.67803359e+000
3.13131362e-002, 1.67152715e+000
3.23232375e-002, 1.66502047e+000
3.33333388e-002, 1.65851378e+000
3.43434401e-002, 1.65200710e+000
3.53535414e-002, 1.64465797e+000
3.63636427e-002, 1.63616490e+000
3.73737440e-002, 1.62767196e+000
3.83838452e-002, 1.61917889e+000
3.93939465e-002, 1.61068594e+000
4.04040478e-002, 1.60107660e+000
4.14141491e-002, 1.59028077e+000
4.24242504e-002, 1.57948506e+000
4.34343517e-002, 1.56868935e+000
4.44444530e-002, 1.55789340e+000
4.54545543e-002, 1.54568362e+000
4.64646555e-002, 1.53229499e+000
4.74747568e-002, 1.51890635e+000
4.84848581e-002, 1.50551796e+000
4.94949594e-002, 1.49212933e+000
5.05050607e-002, 1.47702169e+000
5.15151620e-002, 1.46079648e+000
5.25252633e-002, 1.44457114e+000
5.35353646e-002, 1.42834580e+000
5.45454659e-002, 1.41212046e+000
5.55555671e-002, 1.39388168e+000
5.65656684e-002, 1.37463570e+000
5.75757697e-002, 1.35538960e+000
5.85858710e-002, 1.33614361e+000
5.95959723e-002, 1.31689751e+000
6.06060736e-002, 1.29537082e+000
6.16161749e-002, 1.27298844e+000
6.26262724e-002, 1.25060618e+000
6.36363700e-002, 1.22822380e+000
6.46464676e-002, 1.20584142e+000
6.56565651e-002, 1.18095112e+000
6.66666627e-002, 1.15538526e+000
6.76767603e-002, 1.12981939e+000
6.86868578e-002, 1.10425353e+000
6.96969554e-002, 1.07868755e+000
7.07070529e-002, 1.05043292e+000
7.17171505e-002, 1.02169776e+000
7.27272481e-002, 9.92962480e-001
7.37373456e-002, 9.64227319e-001
7.47474432e-002, 9.35492098e-001
7.57575408e-002, 9.03932810e-001
7.67676383e-002, 8.72090816e-001
7.77777359e-002, 8.40248704e-001
7.87878335e-002, 8.08406591e-001
7.97979310e-002, 7.76564658e-001
8.08080286e-002, 7.41801441e-001
8.18181261e-002, 7.06946492e-001
8.28282237e-002, 6.72091603e-001
8.38383213e-002, 6.37236655e-001
8.48484188e-002, 6.02294326e-001
8.58585164e-002, 5.64533770e-001
8.68686140e-002, 5.26773214e-001
8.78787115e-002, 4.89012778e-001
8.88888091e-002, 4.51252252e-001
8.98989066e-002, 4.13237572e-001
9.09090042e-002, 3.72674137e-001
9.19191018e-002, 3.32110703e-001
9.29291993e-002, 2.91547149e-001
9.39392969e-002, 2.50983715e-001
9.49493945e-002, 2.09924236e-001
9.59594920e-002, 1.66081712e-001
9.69695896e-002, 1.22239277e-001
9.79796872e-002, 7.83968940e-002
9.89897847e-002, 3.45544405e-002
9.99998823e-002, 0.00000000e+000


