[Name]
Series 1 for Case Mesh 4 at /LINE:Axial location 8

[Data]
Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+000, 1.99004042e+000
1.01010106e-003, 1.98954344e+000
2.02020211e-003, 1.98904657e+000
3.03030317e-003, 1.98854971e+000
4.04040422e-003, 1.98805261e+000
5.05050551e-003, 1.98740506e+000
6.06060680e-003, 1.98442256e+000
7.07070809e-003, 1.98144007e+000
8.08080938e-003, 1.97845745e+000
9.09091067e-003, 1.97547483e+000
1.01010120e-002, 1.97225106e+000
1.11111132e-002, 1.96727681e+000
1.21212145e-002, 1.96230233e+000
1.31313158e-002, 1.95732808e+000
1.41414171e-002, 1.95235395e+000
1.51515184e-002, 1.94701672e+000
1.61616188e-002, 1.94004655e+000
1.71717200e-002, 1.93307638e+000
1.81818213e-002, 1.92610610e+000
1.91919226e-002, 1.91913581e+000
2.02020239e-002, 1.91168034e+000
2.12121252e-002, 1.90270841e+000
2.22222265e-002, 1.89373660e+000
2.32323278e-002, 1.88476491e+000
2.42424291e-002, 1.87579298e+000
2.52525304e-002, 1.86621273e+000
2.62626316e-002, 1.85523319e+000
2.72727329e-002, 1.84425354e+000
2.82828342e-002, 1.83327365e+000
2.92929355e-002, 1.82229400e+000
3.03030368e-002, 1.81058192e+000
3.13131362e-002, 1.79758787e+000
3.23232375e-002, 1.78459370e+000
3.33333388e-002, 1.77159953e+000
3.43434401e-002, 1.75860524e+000
3.53535414e-002, 1.74475396e+000
3.63636427e-002, 1.72973847e+000
3.73737440e-002, 1.71472311e+000
3.83838452e-002, 1.69970775e+000
3.93939465e-002, 1.68469250e+000
4.04040478e-002, 1.66869450e+000
4.14141491e-002, 1.65165210e+000
4.24242504e-002, 1.63460970e+000
4.34343517e-002, 1.61756706e+000
4.44444530e-002, 1.60052490e+000
4.54545543e-002, 1.58237410e+000
4.64646555e-002, 1.56329942e+000
4.74747568e-002, 1.54422474e+000
4.84848581e-002, 1.52515006e+000
4.94949594e-002, 1.50607538e+000
5.05050607e-002, 1.48576677e+000
5.15151620e-002, 1.46465588e+000
5.25252633e-002, 1.44354498e+000
5.35353646e-002, 1.42243397e+000
5.45454659e-002, 1.40132320e+000
5.55555671e-002, 1.37885296e+000
5.65656684e-002, 1.35570312e+000
5.75757697e-002, 1.33255303e+000
5.85858710e-002, 1.30940306e+000
5.95959723e-002, 1.28625321e+000
6.06060736e-002, 1.26161909e+000
6.16161749e-002, 1.23642850e+000
6.26262724e-002, 1.21123779e+000
6.36363700e-002, 1.18604720e+000
6.46464676e-002, 1.16085660e+000
6.56565651e-002, 1.13405800e+000
6.66666627e-002, 1.10682607e+000
6.76767603e-002, 1.07959437e+000
6.86868578e-002, 1.05236244e+000
6.96969554e-002, 1.02513063e+000
7.07070529e-002, 9.96167600e-001
7.17171505e-002, 9.66894984e-001
7.27272481e-002, 9.37622428e-001
7.37373456e-002, 9.08349872e-001
7.47474432e-002, 8.79077196e-001
7.57575408e-002, 8.47950578e-001
7.67676383e-002, 8.16638470e-001
7.77777359e-002, 7.85326123e-001
7.87878335e-002, 7.54013836e-001
7.97979310e-002, 7.22701550e-001
8.08080286e-002, 6.89413190e-001
8.18181261e-002, 6.56062782e-001
8.28282237e-002, 6.22712374e-001
8.38383213e-002, 5.89361966e-001
8.48484188e-002, 5.55950224e-001
8.58585164e-002, 5.20563304e-001
8.68686140e-002, 4.85176593e-001
8.78787115e-002, 4.49789703e-001
8.88888091e-002, 4.14402902e-001
8.98989066e-002, 3.78831536e-001
9.09090042e-002, 3.41409892e-001
9.19191018e-002, 3.03988248e-001
9.29291993e-002, 2.66566575e-001
9.39392969e-002, 2.29144931e-001
9.49493945e-002, 1.91339105e-001
9.59594920e-002, 1.51378036e-001
9.69695896e-002, 1.11417241e-001
9.79796872e-002, 7.14563057e-002
9.89897847e-002, 3.14952843e-002
9.99998823e-002, 0.00000000e+000


