[Name]
Series 1 for Case Mesh 4 at /LINE:Axial location 1

[Data]
Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+000, 1.49043894e+000
1.01010106e-003, 1.49050736e+000
2.02020211e-003, 1.49057591e+000
3.03030317e-003, 1.49064445e+000
4.04040422e-003, 1.49071288e+000
5.05050551e-003, 1.49080133e+000
6.06060680e-003, 1.49120021e+000
7.07070809e-003, 1.49159884e+000
8.08080938e-003, 1.49199772e+000
9.09091067e-003, 1.49239635e+000
1.01010120e-002, 1.49282050e+000
1.11111132e-002, 1.49342895e+000
1.21212145e-002, 1.49403715e+000
1.31313158e-002, 1.49464560e+000
1.41414171e-002, 1.49525392e+000
1.51515184e-002, 1.49588251e+000
1.61616188e-002, 1.49660277e+000
1.71717200e-002, 1.49732304e+000
1.81818213e-002, 1.49804342e+000
1.91919226e-002, 1.49876356e+000
2.02020239e-002, 1.49947119e+000
2.12121252e-002, 1.50013876e+000
2.22222265e-002, 1.50080657e+000
2.32323278e-002, 1.50147414e+000
2.42424291e-002, 1.50214195e+000
2.52525304e-002, 1.50271714e+000
2.62626316e-002, 1.50307941e+000
2.72727329e-002, 1.50344157e+000
2.82828342e-002, 1.50380397e+000
2.92929355e-002, 1.50416636e+000
3.03030368e-002, 1.50428474e+000
3.13131362e-002, 1.50397658e+000
3.23232375e-002, 1.50366819e+000
3.33333388e-002, 1.50335991e+000
3.43434401e-002, 1.50305152e+000
3.53535414e-002, 1.50224793e+000
3.63636427e-002, 1.50077164e+000
3.73737440e-002, 1.49929523e+000
3.83838452e-002, 1.49781895e+000
3.93939465e-002, 1.49634266e+000
4.04040478e-002, 1.49400711e+000
4.14141491e-002, 1.49075866e+000
4.24242504e-002, 1.48751020e+000
4.34343517e-002, 1.48426175e+000
4.44444530e-002, 1.48101318e+000
4.54545543e-002, 1.47641599e+000
4.64646555e-002, 1.47069502e+000
4.74747568e-002, 1.46497381e+000
4.84848581e-002, 1.45925260e+000
4.94949594e-002, 1.45353138e+000
5.05050607e-002, 1.44585347e+000
5.15151620e-002, 1.43690348e+000
5.25252633e-002, 1.42795348e+000
5.35353646e-002, 1.41900337e+000
5.45454659e-002, 1.41005337e+000
5.55555671e-002, 1.39847863e+000
5.65656684e-002, 1.38559127e+000
5.75757697e-002, 1.37270379e+000
5.85858710e-002, 1.35981643e+000
5.95959723e-002, 1.34692895e+000
6.06060736e-002, 1.33075523e+000
6.16161749e-002, 1.31334853e+000
6.26262724e-002, 1.29594195e+000
6.36363700e-002, 1.27853537e+000
6.46464676e-002, 1.26112878e+000
6.56565651e-002, 1.23986506e+000
6.66666627e-002, 1.21756279e+000
6.76767603e-002, 1.19526029e+000
6.86868578e-002, 1.17295790e+000
6.96969554e-002, 1.15065539e+000
7.07070529e-002, 1.12408590e+000
7.17171505e-002, 1.09675360e+000
7.27272481e-002, 1.06942129e+000
7.37373456e-002, 1.04208899e+000
7.47474432e-002, 1.01475668e+000
7.57575408e-002, 9.82942343e-001
7.67676383e-002, 9.50679064e-001
7.77777359e-002, 9.18415666e-001
7.87878335e-002, 8.86152327e-001
7.97979310e-002, 8.53889108e-001
8.08080286e-002, 8.17111015e-001
8.18181261e-002, 7.80191064e-001
8.28282237e-002, 7.43271172e-001
8.38383213e-002, 7.06351280e-001
8.48484188e-002, 6.69302225e-001
8.58585164e-002, 6.28090739e-001
8.68686140e-002, 5.86879432e-001
8.78787115e-002, 5.45668006e-001
8.88888091e-002, 5.04456580e-001
8.98989066e-002, 4.62889284e-001
9.09090042e-002, 4.17752773e-001
9.19191018e-002, 3.72616380e-001
9.29291993e-002, 3.27479869e-001
9.39392969e-002, 2.82343388e-001
9.49493945e-002, 2.36561075e-001
9.59594920e-002, 1.87155530e-001
9.69695896e-002, 1.37750074e-001
9.79796872e-002, 8.83445442e-002
9.89897847e-002, 3.89389992e-002
9.99998823e-002, 0.00000000e+000


