[Name]
Chart Line 4

[Data]
X [ m ],Pressure [ Pa ]
0.00000000e+000, 5.07032728e+000
3.03030312e-002, 5.03236198e+000
6.06060624e-002, 4.95757294e+000
9.09090936e-002, 4.86090565e+000
1.21212125e-001, 4.76081514e+000
1.51515156e-001, 4.66617298e+000
1.81818187e-001, 4.57807970e+000
2.12121218e-001, 4.49930096e+000
2.42424250e-001, 4.42734146e+000
2.72727281e-001, 4.35979033e+000
3.03030312e-001, 4.29521656e+000
3.33333343e-001, 4.23359299e+000
3.63636374e-001, 4.17402411e+000
3.93939406e-001, 4.11616755e+000
4.24242437e-001, 4.05952501e+000
4.54545468e-001, 4.00392437e+000
4.84848499e-001, 3.94920349e+000
5.15151501e-001, 3.89528561e+000
5.45454502e-001, 3.84207940e+000
5.75757504e-001, 3.78949809e+000
6.06060505e-001, 3.73749256e+000
6.36363506e-001, 3.68598461e+000
6.66666508e-001, 3.63494349e+000
6.96969509e-001, 3.58429623e+000
7.27272511e-001, 3.53403091e+000
7.57575512e-001, 3.48407912e+000
7.87878513e-001, 3.43444204e+000
8.18181515e-001, 3.38505745e+000
8.48484516e-001, 3.33593392e+000
8.78787518e-001, 3.28701448e+000
9.09090519e-001, 3.23831224e+000
9.39393520e-001, 3.18977666e+000
9.69696522e-001, 3.14142179e+000
9.99999523e-001, 3.09320235e+000
1.03030252e+000, 3.04513502e+000
1.06060553e+000, 2.99717999e+000
1.09090853e+000, 2.94934964e+000
1.12121153e+000, 2.90161395e+000
1.15151453e+000, 2.85398078e+000
1.18181753e+000, 2.80642772e+000
1.21212053e+000, 2.75895929e+000
1.24242353e+000, 2.71155810e+000
1.27272654e+000, 2.66422701e+000
1.30302954e+000, 2.61695290e+000
1.33333254e+000, 2.56973648e+000
1.36363554e+000, 2.52256799e+000
1.39393854e+000, 2.47544789e+000
1.42424154e+000, 2.42836881e+000
1.45454454e+000, 2.38132906e+000
1.48484755e+000, 2.33432388e+000
1.51515055e+000, 2.28735113e+000
1.54545355e+000, 2.24040866e+000
1.57575655e+000, 2.19349241e+000
1.60605955e+000, 2.14660168e+000
1.63636255e+000, 2.09973264e+000
1.66666555e+000, 2.05288601e+000
1.69696856e+000, 2.00605702e+000
1.72727156e+000, 1.95924652e+000
1.75757456e+000, 1.91245115e+000
1.78787756e+000, 1.86567116e+000
1.81818056e+000, 1.81890380e+000
1.84848356e+000, 1.77214968e+000
1.87878656e+000, 1.72540557e+000
1.90908957e+000, 1.67867303e+000
1.93939257e+000, 1.63194942e+000
1.96969557e+000, 1.58523464e+000
1.99999857e+000, 1.53852725e+000
2.03030157e+000, 1.49182796e+000
2.06060457e+000, 1.44513452e+000
2.09090757e+000, 1.39844775e+000
2.12121058e+000, 1.35176611e+000
2.15151358e+000, 1.30509043e+000
2.18181658e+000, 1.25841856e+000
2.21211958e+000, 1.21175158e+000
2.24242258e+000, 1.16508806e+000
2.27272558e+000, 1.11842835e+000
2.30302858e+000, 1.07177186e+000
2.33333158e+000, 1.02511871e+000
2.36363459e+000, 9.78468060e-001
2.39393759e+000, 9.31820333e-001
2.42424059e+000, 8.85174632e-001
2.45454359e+000, 8.38531137e-001
2.48484659e+000, 7.91889548e-001
2.51514959e+000, 7.45249748e-001
2.54545259e+000, 6.98611617e-001
2.57575560e+000, 6.51974976e-001
2.60605860e+000, 6.05339766e-001
2.63636160e+000, 5.58705986e-001
2.66666460e+000, 5.12073219e-001
2.69696760e+000, 4.65441465e-001
2.72727060e+000, 4.18810725e-001
2.75757360e+000, 3.72180849e-001
2.78787661e+000, 3.25551778e-001
2.81817961e+000, 2.78923213e-001
2.84848261e+000, 2.32294664e-001
2.87878561e+000, 1.85665116e-001
2.90908861e+000, 1.39024332e-001
2.93939161e+000, 9.23732072e-002
2.96969461e+000, 4.59901243e-002
2.99999762e+000, 7.58121815e-003


