[Name]
Series 1 for Case Mesh 4 at /LINE:Axial location 7

[Data]
Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+000, 1.98559940e+000
1.01010106e-003, 1.98510957e+000
2.02020211e-003, 1.98461986e+000
3.03030317e-003, 1.98413014e+000
4.04040422e-003, 1.98363996e+000
5.05050551e-003, 1.98300195e+000
6.06060680e-003, 1.98006105e+000
7.07070809e-003, 1.97712016e+000
8.08080938e-003, 1.97417951e+000
9.09091067e-003, 1.97123849e+000
1.01010120e-002, 1.96805930e+000
1.11111132e-002, 1.96315145e+000
1.21212145e-002, 1.95824361e+000
1.31313158e-002, 1.95333576e+000
1.41414171e-002, 1.94842792e+000
1.51515184e-002, 1.94316101e+000
1.61616188e-002, 1.93627822e+000
1.71717200e-002, 1.92939544e+000
1.81818213e-002, 1.92251265e+000
1.91919226e-002, 1.91562974e+000
2.02020239e-002, 1.90826583e+000
2.12121252e-002, 1.89939761e+000
2.22222265e-002, 1.89052916e+000
2.32323278e-002, 1.88166118e+000
2.42424291e-002, 1.87279296e+000
2.52525304e-002, 1.86331916e+000
2.62626316e-002, 1.85245335e+000
2.72727329e-002, 1.84158778e+000
2.82828342e-002, 1.83072186e+000
2.92929355e-002, 1.81985629e+000
3.03030368e-002, 1.80825949e+000
3.13131362e-002, 1.79538381e+000
3.23232375e-002, 1.78250790e+000
3.33333388e-002, 1.76963210e+000
3.43434401e-002, 1.75675619e+000
3.53535414e-002, 1.74302244e+000
3.63636427e-002, 1.72812390e+000
3.73737440e-002, 1.71322560e+000
3.83838452e-002, 1.69832730e+000
3.93939465e-002, 1.68342888e+000
4.04040478e-002, 1.66754448e+000
4.14141491e-002, 1.65061212e+000
4.24242504e-002, 1.63367987e+000
4.34343517e-002, 1.61674738e+000
4.44444530e-002, 1.59981513e+000
4.54545543e-002, 1.58176816e+000
4.64646555e-002, 1.56279218e+000
4.74747568e-002, 1.54381621e+000
4.84848581e-002, 1.52484035e+000
4.94949594e-002, 1.50586438e+000
5.05050607e-002, 1.48564529e+000
5.15151620e-002, 1.46461821e+000
5.25252633e-002, 1.44359100e+000
5.35353646e-002, 1.42256379e+000
5.45454659e-002, 1.40153658e+000
5.55555671e-002, 1.37913847e+000
5.65656684e-002, 1.35605466e+000
5.75757697e-002, 1.33297086e+000
5.85858710e-002, 1.30988705e+000
5.95959723e-002, 1.28680313e+000
6.06060736e-002, 1.26222157e+000
6.16161749e-002, 1.23707819e+000
6.26262724e-002, 1.21193480e+000
6.36363700e-002, 1.18679142e+000
6.46464676e-002, 1.16164804e+000
6.56565651e-002, 1.13488138e+000
6.66666627e-002, 1.10767746e+000
6.76767603e-002, 1.08047342e+000
6.86868578e-002, 1.05326951e+000
6.96969554e-002, 1.02606547e+000
7.07070529e-002, 9.97114003e-001
7.17171505e-002, 9.67850149e-001
7.27272481e-002, 9.38586414e-001
7.37373456e-002, 9.09322500e-001
7.47474432e-002, 8.80058706e-001
7.57575408e-002, 8.48924518e-001
7.67676383e-002, 8.17602992e-001
7.77777359e-002, 7.86281466e-001
7.87878335e-002, 7.54959941e-001
7.97979310e-002, 7.23638475e-001
8.08080286e-002, 6.90324664e-001
8.18181261e-002, 6.56948388e-001
8.28282237e-002, 6.23572111e-001
8.38383213e-002, 5.90195715e-001
8.48484188e-002, 5.56757689e-001
8.58585164e-002, 5.21329701e-001
8.68686140e-002, 4.85901952e-001
8.78787115e-002, 4.50473994e-001
8.88888091e-002, 4.15046185e-001
8.98989066e-002, 3.79432499e-001
9.09090042e-002, 3.41956258e-001
9.19191018e-002, 3.04479927e-001
9.29291993e-002, 2.67003626e-001
9.39392969e-002, 2.29527324e-001
9.49493945e-002, 1.91664815e-001
9.59594920e-002, 1.51635721e-001
9.69695896e-002, 1.11606911e-001
9.79796872e-002, 7.15779439e-002
9.89897847e-002, 3.15488949e-002
9.99998823e-002, 0.00000000e+000


