[Name]
Series 1 for Case Mesh 4 at /LINE:Axial location 10

[Data]
Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+000, 1.99362171e+000
1.01010106e-003, 1.99311900e+000
2.02020211e-003, 1.99261642e+000
3.03030317e-003, 1.99211383e+000
4.04040422e-003, 1.99161100e+000
5.05050551e-003, 1.99095607e+000
6.06060680e-003, 1.98793983e+000
7.07070809e-003, 1.98492360e+000
8.08080938e-003, 1.98190761e+000
9.09091067e-003, 1.97889137e+000
1.01010120e-002, 1.97563148e+000
1.11111132e-002, 1.97060370e+000
1.21212145e-002, 1.96557558e+000
1.31313158e-002, 1.96054745e+000
1.41414171e-002, 1.95551980e+000
1.51515184e-002, 1.95012581e+000
1.61616188e-002, 1.94308507e+000
1.71717200e-002, 1.93604434e+000
1.81818213e-002, 1.92900372e+000
1.91919226e-002, 1.92196250e+000
2.02020239e-002, 1.91443360e+000
2.12121252e-002, 1.90537846e+000
2.22222265e-002, 1.89632320e+000
2.32323278e-002, 1.88726795e+000
2.42424291e-002, 1.87821269e+000
2.52525304e-002, 1.86854637e+000
2.62626316e-002, 1.85747480e+000
2.72727329e-002, 1.84640336e+000
2.82828342e-002, 1.83533168e+000
2.92929355e-002, 1.82426023e+000
3.03030368e-002, 1.81245494e+000
3.13131362e-002, 1.79936528e+000
3.23232375e-002, 1.78627586e+000
3.33333388e-002, 1.77318609e+000
3.43434401e-002, 1.76009667e+000
3.53535414e-002, 1.74615014e+000
3.63636427e-002, 1.73104048e+000
3.73737440e-002, 1.71593094e+000
3.83838452e-002, 1.70082116e+000
3.93939465e-002, 1.68571162e+000
4.04040478e-002, 1.66962206e+000
4.14141491e-002, 1.65249085e+000
4.24242504e-002, 1.63535976e+000
4.34343517e-002, 1.61822855e+000
4.44444530e-002, 1.60109735e+000
4.54545543e-002, 1.58286297e+000
4.64646555e-002, 1.56370866e+000
4.74747568e-002, 1.54455447e+000
4.84848581e-002, 1.52540016e+000
4.94949594e-002, 1.50624585e+000
5.05050607e-002, 1.48586500e+000
5.15151620e-002, 1.46468663e+000
5.25252633e-002, 1.44350815e+000
5.35353646e-002, 1.42232978e+000
5.45454659e-002, 1.40115130e+000
5.55555671e-002, 1.37862301e+000
5.65656684e-002, 1.35541975e+000
5.75757697e-002, 1.33221626e+000
5.85858710e-002, 1.30901289e+000
5.95959723e-002, 1.28580952e+000
6.06060736e-002, 1.26113331e+000
6.16161749e-002, 1.23590446e+000
6.26262724e-002, 1.21067584e+000
6.36363700e-002, 1.18544710e+000
6.46464676e-002, 1.16021836e+000
6.56565651e-002, 1.13339400e+000
6.66666627e-002, 1.10613966e+000
6.76767603e-002, 1.07888532e+000
6.86868578e-002, 1.05163109e+000
6.96969554e-002, 1.02437675e+000
7.07070529e-002, 9.95404243e-001
7.17171505e-002, 9.66124594e-001
7.27272481e-002, 9.36844945e-001
7.37373456e-002, 9.07565236e-001
7.47474432e-002, 8.78285527e-001
7.57575408e-002, 8.47165108e-001
7.67676383e-002, 8.15860271e-001
7.77777359e-002, 7.84555435e-001
7.87878335e-002, 7.53250659e-001
7.97979310e-002, 7.21945822e-001
8.08080286e-002, 6.88677907e-001
8.18181261e-002, 6.55348420e-001
8.28282237e-002, 6.22018874e-001
8.38383213e-002, 5.88689387e-001
8.48484188e-002, 5.55298924e-001
8.58585164e-002, 5.19945025e-001
8.68686140e-002, 4.84591395e-001
8.78787115e-002, 4.49237585e-001
8.88888091e-002, 4.13883865e-001
8.98989066e-002, 3.78346592e-001
9.09090042e-002, 3.40969056e-001
9.19191018e-002, 3.03591490e-001
9.29291993e-002, 2.66213894e-001
9.39392969e-002, 2.28836358e-001
9.49493945e-002, 1.91076264e-001
9.59594920e-002, 1.51170090e-001
9.69695896e-002, 1.11264199e-001
9.79796872e-002, 7.13581443e-002
9.89897847e-002, 3.14520188e-002
9.99998823e-002, 0.00000000e+000


