[Name]
Series 1 for Case Mesh 4 at /LINE:Axial location 6

[Data]
Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+000, 1.97716033e+000
1.01010106e-003, 1.97668386e+000
2.02020211e-003, 1.97620749e+000
3.03030317e-003, 1.97573102e+000
4.04040422e-003, 1.97525454e+000
5.05050551e-003, 1.97463346e+000
6.06060680e-003, 1.97177172e+000
7.07070809e-003, 1.96890998e+000
8.08080938e-003, 1.96604824e+000
9.09091067e-003, 1.96318638e+000
1.01010120e-002, 1.96009207e+000
1.11111132e-002, 1.95531058e+000
1.21212145e-002, 1.95052910e+000
1.31313158e-002, 1.94574749e+000
1.41414171e-002, 1.94096601e+000
1.51515184e-002, 1.93583274e+000
1.61616188e-002, 1.92911601e+000
1.71717200e-002, 1.92239952e+000
1.81818213e-002, 1.91568315e+000
1.91919226e-002, 1.90896630e+000
2.02020239e-002, 1.90177596e+000
2.12121252e-002, 1.89310431e+000
2.22222265e-002, 1.88443267e+000
2.32323278e-002, 1.87576127e+000
2.42424291e-002, 1.86708975e+000
2.52525304e-002, 1.85781896e+000
2.62626316e-002, 1.84716976e+000
2.72727329e-002, 1.83652067e+000
2.82828342e-002, 1.82587135e+000
2.92929355e-002, 1.81522202e+000
3.03030368e-002, 1.80384517e+000
3.13131362e-002, 1.79119420e+000
3.23232375e-002, 1.77854347e+000
3.33333388e-002, 1.76589239e+000
3.43434401e-002, 1.75324154e+000
3.53535414e-002, 1.73973155e+000
3.63636427e-002, 1.72505546e+000
3.73737440e-002, 1.71037936e+000
3.83838452e-002, 1.69570327e+000
3.93939465e-002, 1.68102705e+000
4.04040478e-002, 1.66535854e+000
4.14141491e-002, 1.64863563e+000
4.24242504e-002, 1.63191259e+000
4.34343517e-002, 1.61518967e+000
4.44444530e-002, 1.59846663e+000
4.54545543e-002, 1.58061731e+000
4.64646555e-002, 1.56182897e+000
4.74747568e-002, 1.54304075e+000
4.84848581e-002, 1.52425253e+000
4.94949594e-002, 1.50546432e+000
5.05050607e-002, 1.48541570e+000
5.15151620e-002, 1.46454763e+000
5.25252633e-002, 1.44367957e+000
5.35353646e-002, 1.42281139e+000
5.45454659e-002, 1.40194321e+000
5.55555671e-002, 1.37968206e+000
5.65656684e-002, 1.35672402e+000
5.75757697e-002, 1.33376598e+000
5.85858710e-002, 1.31080818e+000
5.95959723e-002, 1.28785014e+000
6.06060736e-002, 1.26336813e+000
6.16161749e-002, 1.23831439e+000
6.26262724e-002, 1.21326089e+000
6.36363700e-002, 1.18820715e+000
6.46464676e-002, 1.16315365e+000
6.56565651e-002, 1.13644755e+000
6.66666627e-002, 1.10929632e+000
6.76767603e-002, 1.08214521e+000
6.86868578e-002, 1.05499399e+000
6.96969554e-002, 1.02784276e+000
7.07070529e-002, 9.98913407e-001
7.17171505e-002, 9.69666183e-001
7.27272481e-002, 9.40419018e-001
7.37373456e-002, 9.11171794e-001
7.47474432e-002, 8.81924570e-001
7.57575408e-002, 8.50775778e-001
7.67676383e-002, 8.19436610e-001
7.77777359e-002, 7.88097382e-001
7.87878335e-002, 7.56758094e-001
7.97979310e-002, 7.25418925e-001
8.08080286e-002, 6.92056775e-001
8.18181261e-002, 6.58631146e-001
8.28282237e-002, 6.25205517e-001
8.38383213e-002, 5.91779828e-001
8.48484188e-002, 5.58291495e-001
8.58585164e-002, 5.22785544e-001
8.68686140e-002, 4.87279832e-001
8.78787115e-002, 4.51773882e-001
8.88888091e-002, 4.16268080e-001
8.98989066e-002, 3.80574048e-001
9.09090042e-002, 3.42993885e-001
9.19191018e-002, 3.05413693e-001
9.29291993e-002, 2.67833680e-001
9.39392969e-002, 2.30253369e-001
9.49493945e-002, 1.92283243e-001
9.59594920e-002, 1.52125001e-001
9.69695896e-002, 1.11967020e-001
9.79796872e-002, 7.18088970e-002
9.89897847e-002, 3.16506922e-002
9.99998823e-002, 0.00000000e+000


