[Name]
Chart Line 2

[Data]
Y [ m ],Temperature [ K ]
0.00000000e+000, 3.73149780e+002
1.01010106e-003, 3.73149628e+002
2.02020211e-003, 3.73149475e+002
3.03030317e-003, 3.73149353e+002
4.04040422e-003, 3.73149200e+002
5.05050551e-003, 3.73149048e+002
6.06060680e-003, 3.73148895e+002
7.07070809e-003, 3.73148804e+002
8.08080938e-003, 3.73148621e+002
9.09091067e-003, 3.73148468e+002
1.01010120e-002, 3.73148315e+002
1.11111132e-002, 3.73148193e+002
1.21212145e-002, 3.73148041e+002
1.31313158e-002, 3.73147919e+002
1.41414171e-002, 3.73147766e+002
1.51515184e-002, 3.73147644e+002
1.61616188e-002, 3.73147461e+002
1.71717200e-002, 3.73147339e+002
1.81818213e-002, 3.73147156e+002
1.91919226e-002, 3.73147034e+002
2.02020239e-002, 3.73145844e+002
2.12121252e-002, 3.73141479e+002
2.22222265e-002, 3.73137146e+002
2.32323278e-002, 3.73132782e+002
2.42424291e-002, 3.73128418e+002
2.52525304e-002, 3.73124054e+002
2.62626316e-002, 3.73119690e+002
2.72727329e-002, 3.73115356e+002
2.82828342e-002, 3.73111023e+002
2.92929355e-002, 3.73106628e+002
3.03030368e-002, 3.73102264e+002
3.13131362e-002, 3.73097900e+002
3.23232375e-002, 3.73093536e+002
3.33333388e-002, 3.73089203e+002
3.43434401e-002, 3.73084839e+002
3.53535414e-002, 3.73080444e+002
3.63636427e-002, 3.73076111e+002
3.73737440e-002, 3.73071777e+002
3.83838452e-002, 3.73067383e+002
3.93939465e-002, 3.73063019e+002
4.04040478e-002, 3.73018219e+002
4.14141491e-002, 3.72930450e+002
4.24242504e-002, 3.72842651e+002
4.34343517e-002, 3.72754883e+002
4.44444530e-002, 3.72667114e+002
4.54545543e-002, 3.72579315e+002
4.64646555e-002, 3.72491547e+002
4.74747568e-002, 3.72403748e+002
4.84848581e-002, 3.72315979e+002
4.94949594e-002, 3.72228180e+002
5.05050607e-002, 3.72140381e+002
5.15151620e-002, 3.72052643e+002
5.25252633e-002, 3.71964844e+002
5.35353646e-002, 3.71877075e+002
5.45454659e-002, 3.71789246e+002
5.55555671e-002, 3.71701508e+002
5.65656684e-002, 3.71613708e+002
5.75757697e-002, 3.71525940e+002
5.85858710e-002, 3.71438141e+002
5.95959723e-002, 3.71350372e+002
6.06060736e-002, 3.70673248e+002
6.16161749e-002, 3.69775055e+002
6.26262724e-002, 3.68876831e+002
6.36363700e-002, 3.67978607e+002
6.46464676e-002, 3.67080414e+002
6.56565651e-002, 3.66182190e+002
6.66666627e-002, 3.65283966e+002
6.76767603e-002, 3.64385773e+002
6.86868578e-002, 3.63487549e+002
6.96969554e-002, 3.62589355e+002
7.07070529e-002, 3.61691162e+002
7.17171505e-002, 3.60792969e+002
7.27272481e-002, 3.59894714e+002
7.37373456e-002, 3.58996521e+002
7.47474432e-002, 3.58098297e+002
7.57575408e-002, 3.57200134e+002
7.67676383e-002, 3.56301880e+002
7.77777359e-002, 3.55403717e+002
7.87878335e-002, 3.54505463e+002
7.97979310e-002, 3.53607300e+002
8.08080286e-002, 3.51776215e+002
8.18181261e-002, 3.49915863e+002
8.28282237e-002, 3.48055511e+002
8.38383213e-002, 3.46195129e+002
8.48484188e-002, 3.44334778e+002
8.58585164e-002, 3.42474396e+002
8.68686140e-002, 3.40614044e+002
8.78787115e-002, 3.38753662e+002
8.88888091e-002, 3.36893311e+002
8.98989066e-002, 3.35032959e+002
9.09090042e-002, 3.33172577e+002
9.19191018e-002, 3.31312256e+002
9.29291993e-002, 3.29451843e+002
9.39392969e-002, 3.27591492e+002
9.49493945e-002, 3.25731110e+002
9.59594920e-002, 3.23870789e+002
9.69695896e-002, 3.22010376e+002
9.79796872e-002, 3.20150024e+002
9.89897847e-002, 3.18289673e+002
9.99998823e-002, 3.15015015e+002


