[Name]
Series 1 for Case Mesh 4 at /LINE:Axial location 3

[Data]
Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+000, 1.86893308e+000
1.01010106e-003, 1.86862350e+000
2.02020211e-003, 1.86831403e+000
3.03030317e-003, 1.86800444e+000
4.04040422e-003, 1.86769485e+000
5.05050551e-003, 1.86729062e+000
6.06060680e-003, 1.86541843e+000
7.07070809e-003, 1.86354637e+000
8.08080938e-003, 1.86167431e+000
9.09091067e-003, 1.85980225e+000
1.01010120e-002, 1.85777044e+000
1.11111132e-002, 1.85458088e+000
1.21212145e-002, 1.85139108e+000
1.31313158e-002, 1.84820127e+000
1.41414171e-002, 1.84501171e+000
1.51515184e-002, 1.84156334e+000
1.61616188e-002, 1.83695102e+000
1.71717200e-002, 1.83233857e+000
1.81818213e-002, 1.82772624e+000
1.91919226e-002, 1.82311392e+000
2.02020239e-002, 1.81812394e+000
2.12121252e-002, 1.81195426e+000
2.22222265e-002, 1.80578446e+000
2.32323278e-002, 1.79961491e+000
2.42424291e-002, 1.79344511e+000
2.52525304e-002, 1.78675640e+000
2.62626316e-002, 1.77887321e+000
2.72727329e-002, 1.77099013e+000
2.82828342e-002, 1.76310706e+000
2.92929355e-002, 1.75522387e+000
3.03030368e-002, 1.74665713e+000
3.13131362e-002, 1.73689389e+000
3.23232375e-002, 1.72713053e+000
3.33333388e-002, 1.71736705e+000
3.43434401e-002, 1.70760369e+000
3.53535414e-002, 1.69697225e+000
3.63636427e-002, 1.68516231e+000
3.73737440e-002, 1.67335248e+000
3.83838452e-002, 1.66154242e+000
3.93939465e-002, 1.64973247e+000
4.04040478e-002, 1.63685501e+000
4.14141491e-002, 1.62284315e+000
4.24242504e-002, 1.60883117e+000
4.34343517e-002, 1.59481931e+000
4.44444530e-002, 1.58080745e+000
4.54545543e-002, 1.56552076e+000
4.64646555e-002, 1.54917181e+000
4.74747568e-002, 1.53282285e+000
4.84848581e-002, 1.51647389e+000
4.94949594e-002, 1.50012505e+000
5.05050607e-002, 1.48229444e+000
5.15151620e-002, 1.46350050e+000
5.25252633e-002, 1.44470668e+000
5.35353646e-002, 1.42591286e+000
5.45454659e-002, 1.40711892e+000
5.55555671e-002, 1.38664401e+000
5.65656684e-002, 1.36532855e+000
5.75757697e-002, 1.34401298e+000
5.85858710e-002, 1.32269740e+000
5.95959723e-002, 1.30138183e+000
6.06060736e-002, 1.27819991e+000
6.16161749e-002, 1.25431788e+000
6.26262724e-002, 1.23043585e+000
6.36363700e-002, 1.20655382e+000
6.46464676e-002, 1.18267179e+000
6.56565651e-002, 1.15675652e+000
6.66666627e-002, 1.13029349e+000
6.76767603e-002, 1.10383034e+000
6.86868578e-002, 1.07736719e+000
6.96969554e-002, 1.05090404e+000
7.07070529e-002, 1.02226043e+000
7.17171505e-002, 9.93227065e-001
7.27272481e-002, 9.64193702e-001
7.37373456e-002, 9.35160398e-001
7.47474432e-002, 9.06127095e-001
7.57575408e-002, 8.74785185e-001
7.67676383e-002, 8.43212008e-001
7.77777359e-002, 8.11638832e-001
7.87878335e-002, 7.80065656e-001
7.97979310e-002, 7.48492539e-001
8.08080286e-002, 7.14498103e-001
8.18181261e-002, 6.80427611e-001
8.28282237e-002, 6.46357238e-001
8.38383213e-002, 6.12286806e-001
8.48484188e-002, 5.78142703e-001
8.58585164e-002, 5.41622341e-001
8.68686140e-002, 5.05102158e-001
8.78787115e-002, 4.68581915e-001
8.88888091e-002, 4.32061672e-001
8.98989066e-002, 3.95323366e-001
9.09090042e-002, 3.56398463e-001
9.19191018e-002, 3.17473590e-001
9.29291993e-002, 2.78548598e-001
9.39392969e-002, 2.39623755e-001
9.49493945e-002, 2.00260282e-001
9.59594920e-002, 1.58436060e-001
9.69695896e-002, 1.16611935e-001
9.79796872e-002, 7.47878626e-002
9.89897847e-002, 3.29637080e-002
9.99998823e-002, 0.00000000e+000


