[Name]
Series 1 for Case Mesh 4 at /LINE:Axial location 5

[Data]
Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+000, 1.96104062e+000
1.01010106e-003, 1.96058977e+000
2.02020211e-003, 1.96013880e+000
3.03030317e-003, 1.95968795e+000
4.04040422e-003, 1.95923674e+000
5.05050551e-003, 1.95864892e+000
6.06060680e-003, 1.95593762e+000
7.07070809e-003, 1.95322633e+000
8.08080938e-003, 1.95051491e+000
9.09091067e-003, 1.94780350e+000
1.01010120e-002, 1.94487071e+000
1.11111132e-002, 1.94032967e+000
1.21212145e-002, 1.93578887e+000
1.31313158e-002, 1.93124795e+000
1.41414171e-002, 1.92670739e+000
1.51515184e-002, 1.92182863e+000
1.61616188e-002, 1.91542912e+000
1.71717200e-002, 1.90902972e+000
1.81818213e-002, 1.90263033e+000
1.91919226e-002, 1.89623094e+000
2.02020239e-002, 1.88937187e+000
2.12121252e-002, 1.88107598e+000
2.22222265e-002, 1.87278008e+000
2.32323278e-002, 1.86448431e+000
2.42424291e-002, 1.85618854e+000
2.52525304e-002, 1.84730494e+000
2.62626316e-002, 1.83706951e+000
2.72727329e-002, 1.82683384e+000
2.82828342e-002, 1.81659830e+000
2.92929355e-002, 1.80636287e+000
3.03030368e-002, 1.79540551e+000
3.13131362e-002, 1.78318453e+000
3.23232375e-002, 1.77096367e+000
3.33333388e-002, 1.75874269e+000
3.43434401e-002, 1.74652183e+000
3.53535414e-002, 1.73343968e+000
3.63636427e-002, 1.71918845e+000
3.73737440e-002, 1.70493722e+000
3.83838452e-002, 1.69068599e+000
3.93939465e-002, 1.67643476e+000
4.04040478e-002, 1.66117942e+000
4.14141491e-002, 1.64485693e+000
4.24242504e-002, 1.62853432e+000
4.34343517e-002, 1.61221159e+000
4.44444530e-002, 1.59588909e+000
4.54545543e-002, 1.57841754e+000
4.64646555e-002, 1.55998814e+000
4.74747568e-002, 1.54155874e+000
4.84848581e-002, 1.52312946e+000
4.94949594e-002, 1.50470018e+000
5.05050607e-002, 1.48497736e+000
5.15151620e-002, 1.46441376e+000
5.25252633e-002, 1.44385016e+000
5.35353646e-002, 1.42328644e+000
5.45454659e-002, 1.40272295e+000
5.55555671e-002, 1.38072360e+000
5.65656684e-002, 1.35800624e+000
5.75757697e-002, 1.33528876e+000
5.85858710e-002, 1.31257129e+000
5.95959723e-002, 1.28985393e+000
6.06060736e-002, 1.26556230e+000
6.16161749e-002, 1.24068010e+000
6.26262724e-002, 1.21579790e+000
6.36363700e-002, 1.19091570e+000
6.46464676e-002, 1.16603363e+000
6.56565651e-002, 1.13944328e+000
6.66666627e-002, 1.11239290e+000
6.76767603e-002, 1.08534241e+000
6.86868578e-002, 1.05829191e+000
6.96969554e-002, 1.03124154e+000
7.07070529e-002, 1.00235415e+000
7.17171505e-002, 9.73138392e-001
7.27272481e-002, 9.43922698e-001
7.37373456e-002, 9.14706945e-001
7.47474432e-002, 8.85491252e-001
7.57575408e-002, 8.54314327e-001
7.67676383e-002, 8.22940946e-001
7.77777359e-002, 7.91567683e-001
7.87878335e-002, 7.60194421e-001
7.97979310e-002, 7.28821099e-001
8.08080286e-002, 6.95366263e-001
8.18181261e-002, 6.61846042e-001
8.28282237e-002, 6.28325999e-001
8.38383213e-002, 5.94805837e-001
8.48484188e-002, 5.61221480e-001
8.58585164e-002, 5.25566339e-001
8.68686140e-002, 4.89911318e-001
8.78787115e-002, 4.54256296e-001
8.88888091e-002, 4.18601274e-001
8.98989066e-002, 3.82753640e-001
9.09090042e-002, 3.44975114e-001
9.19191018e-002, 3.07196558e-001
9.29291993e-002, 2.69417942e-001
9.39392969e-002, 2.31639415e-001
9.49493945e-002, 1.93463609e-001
9.59594920e-002, 1.53058872e-001
9.69695896e-002, 1.12654224e-001
9.79796872e-002, 7.22496212e-002
9.89897847e-002, 3.18449475e-002
9.99998823e-002, 0.00000000e+000


