[Name]
Series 1 for Case Mesh 4 at /LINE:Axial location 9

[Data]
Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+000, 1.99238324e+000
1.01010106e-003, 1.99188256e+000
2.02020211e-003, 1.99138212e+000
3.03030317e-003, 1.99088156e+000
4.04040422e-003, 1.99038076e+000
5.05050551e-003, 1.98972845e+000
6.06060680e-003, 1.98672390e+000
7.07070809e-003, 1.98371947e+000
8.08080938e-003, 1.98071480e+000
9.09091067e-003, 1.97771049e+000
1.01010120e-002, 1.97446275e+000
1.11111132e-002, 1.96945357e+000
1.21212145e-002, 1.96444416e+000
1.31313158e-002, 1.95943463e+000
1.41414171e-002, 1.95442533e+000
1.51515184e-002, 1.94905126e+000
1.61616188e-002, 1.94203484e+000
1.71717200e-002, 1.93501830e+000
1.81818213e-002, 1.92800188e+000
1.91919226e-002, 1.92098546e+000
2.02020239e-002, 1.91348183e+000
2.12121252e-002, 1.90445542e+000
2.22222265e-002, 1.89542890e+000
2.32323278e-002, 1.88640237e+000
2.42424291e-002, 1.87737596e+000
2.52525304e-002, 1.86773932e+000
2.62626316e-002, 1.85669959e+000
2.72727329e-002, 1.84565985e+000
2.82828342e-002, 1.83462012e+000
2.92929355e-002, 1.82358027e+000
3.03030368e-002, 1.81180727e+000
3.13131362e-002, 1.79875064e+000
3.23232375e-002, 1.78569412e+000
3.33333388e-002, 1.77263737e+000
3.43434401e-002, 1.75958097e+000
3.53535414e-002, 1.74566734e+000
3.63636427e-002, 1.73059034e+000
3.73737440e-002, 1.71551335e+000
3.83838452e-002, 1.70043635e+000
3.93939465e-002, 1.68535936e+000
4.04040478e-002, 1.66930139e+000
4.14141491e-002, 1.65220082e+000
4.24242504e-002, 1.63510036e+000
4.34343517e-002, 1.61799991e+000
4.44444530e-002, 1.60089958e+000
4.54545543e-002, 1.58269393e+000
4.64646555e-002, 1.56356716e+000
4.74747568e-002, 1.54444027e+000
4.84848581e-002, 1.52531362e+000
4.94949594e-002, 1.50618696e+000
5.05050607e-002, 1.48583102e+000
5.15151620e-002, 1.46467602e+000
5.25252633e-002, 1.44352102e+000
5.35353646e-002, 1.42236590e+000
5.45454659e-002, 1.40121078e+000
5.55555671e-002, 1.37870264e+000
5.65656684e-002, 1.35551775e+000
5.75757697e-002, 1.33233273e+000
5.85858710e-002, 1.30914783e+000
5.95959723e-002, 1.28596294e+000
6.06060736e-002, 1.26130128e+000
6.16161749e-002, 1.23608565e+000
6.26262724e-002, 1.21087027e+000
6.36363700e-002, 1.18565464e+000
6.46464676e-002, 1.16043913e+000
6.56565651e-002, 1.13362360e+000
6.66666627e-002, 1.10637712e+000
6.76767603e-002, 1.07913065e+000
6.86868578e-002, 1.05188406e+000
6.96969554e-002, 1.02463746e+000
7.07070529e-002, 9.95668173e-001
7.17171505e-002, 9.66390967e-001
7.27272481e-002, 9.37113762e-001
7.37373456e-002, 9.07836556e-001
7.47474432e-002, 8.78559291e-001
7.57575408e-002, 8.47436666e-001
7.67676383e-002, 8.16129327e-001
7.77777359e-002, 7.84821868e-001
7.87878335e-002, 7.53514528e-001
7.97979310e-002, 7.22207129e-001
8.08080286e-002, 6.88932061e-001
8.18181261e-002, 6.55595422e-001
8.28282237e-002, 6.22258663e-001
8.38383213e-002, 5.88921845e-001
8.48484188e-002, 5.55524051e-001
8.58585164e-002, 5.20158768e-001
8.68686140e-002, 4.84793723e-001
8.78787115e-002, 4.49428439e-001
8.88888091e-002, 4.14063275e-001
8.98989066e-002, 3.78514230e-001
9.09090042e-002, 3.41121435e-001
9.19191018e-002, 3.03728640e-001
9.29291993e-002, 2.66335845e-001
9.39392969e-002, 2.28943065e-001
9.49493945e-002, 1.91167176e-001
9.59594920e-002, 1.51242003e-001
9.69695896e-002, 1.11317128e-001
9.79796872e-002, 7.13920966e-002
9.89897847e-002, 3.14669833e-002
9.99998823e-002, 0.00000000e+000


