[Name]
Chart Line 5

[Data]
Velocity u [ m s^-1 ],Y [ m ]
1.92301059e+000, 0.00000000e+000
1.91912067e+000, 1.01010106e-003
1.91523039e+000, 2.02020211e-003
1.91134048e+000, 3.03030317e-003
1.90745056e+000, 4.04040422e-003
1.90356028e+000, 5.05050551e-003
1.89967036e+000, 6.06060680e-003
1.89578032e+000, 7.07070809e-003
1.89189017e+000, 8.08080938e-003
1.88800001e+000, 9.09091067e-003
1.88410997e+000, 1.01010120e-002
1.88021994e+000, 1.11111132e-002
1.87632990e+000, 1.21212145e-002
1.87243986e+000, 1.31313158e-002
1.86854982e+000, 1.41414171e-002
1.86465979e+000, 1.51515184e-002
1.86076975e+000, 1.61616188e-002
1.85687971e+000, 1.71717200e-002
1.85298955e+000, 1.81818213e-002
1.84909940e+000, 1.91919226e-002
1.84332216e+000, 2.02020239e-002
1.83164692e+000, 2.12121252e-002
1.81997156e+000, 2.22222265e-002
1.80829608e+000, 2.32323278e-002
1.79662073e+000, 2.42424291e-002
1.78494525e+000, 2.52525304e-002
1.77326989e+000, 2.62626316e-002
1.76159453e+000, 2.72727329e-002
1.74991918e+000, 2.82828342e-002
1.73824370e+000, 2.92929355e-002
1.72656822e+000, 3.03030368e-002
1.71489286e+000, 3.13131362e-002
1.70321751e+000, 3.23232375e-002
1.69154227e+000, 3.33333388e-002
1.67986679e+000, 3.43434401e-002
1.66819143e+000, 3.53535414e-002
1.65651596e+000, 3.63636427e-002
1.64484060e+000, 3.73737440e-002
1.63316512e+000, 3.83838452e-002
1.62148988e+000, 3.93939465e-002
1.60603690e+000, 4.04040478e-002
1.58656955e+000, 4.14141491e-002
1.56710207e+000, 4.24242504e-002
1.54763484e+000, 4.34343517e-002
1.52816737e+000, 4.44444530e-002
1.50870001e+000, 4.54545543e-002
1.48923266e+000, 4.64646555e-002
1.46976531e+000, 4.74747568e-002
1.45029783e+000, 4.84848581e-002
1.43083048e+000, 4.94949594e-002
1.41136312e+000, 5.05050607e-002
1.39189577e+000, 5.15151620e-002
1.37242854e+000, 5.25252633e-002
1.35296106e+000, 5.35353646e-002
1.33349347e+000, 5.45454659e-002
1.31402636e+000, 5.55555671e-002
1.29455876e+000, 5.65656684e-002
1.27509141e+000, 5.75757697e-002
1.25562406e+000, 5.85858710e-002
1.23615670e+000, 5.95959723e-002
1.21102333e+000, 6.06060736e-002
1.18376434e+000, 6.16161749e-002
1.15650535e+000, 6.26262724e-002
1.12924647e+000, 6.36363700e-002
1.10198748e+000, 6.46464676e-002
1.07472849e+000, 6.56565651e-002
1.04746950e+000, 6.66666627e-002
1.02021062e+000, 6.76767603e-002
9.92951632e-001, 6.86868578e-002
9.65692639e-001, 6.96969554e-002
9.38433766e-001, 7.07070529e-002
9.11174774e-001, 7.17171505e-002
8.83915782e-001, 7.27272481e-002
8.56656790e-001, 7.37373456e-002
8.29397917e-001, 7.47474432e-002
8.02138925e-001, 7.57575408e-002
7.74879932e-001, 7.67676383e-002
7.47621059e-001, 7.77777359e-002
7.20362067e-001, 7.87878335e-002
6.93103135e-001, 7.97979310e-002
6.58302009e-001, 8.08080286e-002
6.23263896e-001, 8.18181261e-002
5.88225782e-001, 8.28282237e-002
5.53187549e-001, 8.38383213e-002
5.18149436e-001, 8.48484188e-002
4.83111292e-001, 8.58585164e-002
4.48073149e-001, 8.68686140e-002
4.13034976e-001, 8.78787115e-002
3.77996832e-001, 8.88888091e-002
3.42958689e-001, 8.98989066e-002
3.07920545e-001, 9.09090042e-002
2.72882402e-001, 9.19191018e-002
2.37844244e-001, 9.29291993e-002
2.02806100e-001, 9.39392969e-002
1.67767957e-001, 9.49493945e-002
1.32729799e-001, 9.59594920e-002
9.76916477e-002, 9.69695896e-002
6.26535043e-002, 9.79796872e-002
2.76153553e-002, 9.89897847e-002
0.00000000e+000, 9.99998823e-002


