[Name]
Chart Line 1

[Data]
Velocity u [ m s^-1 ],Y [ m ]
1.98015213e+000, 0.00000000e+000
1.97815049e+000, 1.01010106e-003
1.97614920e+000, 2.02020211e-003
1.97414756e+000, 3.03030317e-003
1.97214603e+000, 4.04040422e-003
1.97014439e+000, 5.05050551e-003
1.96814287e+000, 6.06060680e-003
1.96614146e+000, 7.07070809e-003
1.96413994e+000, 8.08080938e-003
1.96213841e+000, 9.09091067e-003
1.95965123e+000, 1.01010120e-002
1.95364165e+000, 1.11111132e-002
1.94763231e+000, 1.21212145e-002
1.94162297e+000, 1.31313158e-002
1.93561363e+000, 1.41414171e-002
1.92960429e+000, 1.51515184e-002
1.92359471e+000, 1.61616188e-002
1.91758537e+000, 1.71717200e-002
1.91157591e+000, 1.81818213e-002
1.90556657e+000, 1.91919226e-002
1.89858496e+000, 2.02020239e-002
1.88856435e+000, 2.12121252e-002
1.87854362e+000, 2.22222265e-002
1.86852312e+000, 2.32323278e-002
1.85850239e+000, 2.42424291e-002
1.84848177e+000, 2.52525304e-002
1.83846140e+000, 2.62626316e-002
1.82844067e+000, 2.72727329e-002
1.81841993e+000, 2.82828342e-002
1.80839944e+000, 2.92929355e-002
1.79692090e+000, 3.03030368e-002
1.78289080e+000, 3.13131362e-002
1.76886070e+000, 3.23232375e-002
1.75483060e+000, 3.33333388e-002
1.74080038e+000, 3.43434401e-002
1.72677028e+000, 3.53535414e-002
1.71274006e+000, 3.63636427e-002
1.69871020e+000, 3.73737440e-002
1.68467999e+000, 3.83838452e-002
1.67064977e+000, 3.93939465e-002
1.65467584e+000, 4.04040478e-002
1.63663614e+000, 4.14141491e-002
1.61859632e+000, 4.24242504e-002
1.60055661e+000, 4.34343517e-002
1.58251691e+000, 4.44444530e-002
1.56447721e+000, 4.54545543e-002
1.54643738e+000, 4.64646555e-002
1.52839780e+000, 4.74747568e-002
1.51035798e+000, 4.84848581e-002
1.49231815e+000, 4.94949594e-002
1.47184813e+000, 5.05050607e-002
1.44979811e+000, 5.15151620e-002
1.42774796e+000, 5.25252633e-002
1.40569794e+000, 5.35353646e-002
1.38364792e+000, 5.45454659e-002
1.36159778e+000, 5.55555671e-002
1.33954763e+000, 5.65656684e-002
1.31749761e+000, 5.75757697e-002
1.29544735e+000, 5.85858710e-002
1.27339721e+000, 5.95959723e-002
1.24843013e+000, 6.06060736e-002
1.22236872e+000, 6.16161749e-002
1.19630730e+000, 6.26262724e-002
1.17024589e+000, 6.36363700e-002
1.14418447e+000, 6.46464676e-002
1.11812305e+000, 6.56565651e-002
1.09206176e+000, 6.66666627e-002
1.06600034e+000, 6.76767603e-002
1.03993893e+000, 6.86868578e-002
1.01387751e+000, 6.96969554e-002
9.84411955e-001, 7.07070529e-002
9.54338074e-001, 7.17171505e-002
9.24264133e-001, 7.27272481e-002
8.94190192e-001, 7.37373456e-002
8.64116311e-001, 7.47474432e-002
8.34042370e-001, 7.57575408e-002
8.03968430e-001, 7.67676383e-002
7.73894548e-001, 7.77777359e-002
7.43820608e-001, 7.87878335e-002
7.13746607e-001, 7.97979310e-002
6.79789782e-001, 8.08080286e-002
6.45711005e-001, 8.18181261e-002
6.11632049e-001, 8.28282237e-002
5.77553153e-001, 8.38383213e-002
5.43474317e-001, 8.48484188e-002
5.09395361e-001, 8.58585164e-002
4.75316525e-001, 8.68686140e-002
4.41237628e-001, 8.78787115e-002
4.07158732e-001, 8.88888091e-002
3.72717142e-001, 8.98989066e-002
3.34638685e-001, 9.09090042e-002
2.96560317e-001, 9.19191018e-002
2.58482069e-001, 9.29291993e-002
2.20403671e-001, 9.39392969e-002
1.82325169e-001, 9.49493945e-002
1.44246683e-001, 9.59594920e-002
1.06168360e-001, 9.69695896e-002
6.80899546e-002, 9.79796872e-002
3.00115477e-002, 9.89897847e-002
0.00000000e+000, 9.99998823e-002


