[Name]
Chart Line 3

[Data]
Velocity u [ m s^-1 ],Y [ m ]
1.99475479e+000, 0.00000000e+000
1.99374866e+000, 1.01010106e-003
1.99274230e+000, 2.02020211e-003
1.99173594e+000, 3.03030317e-003
1.99072969e+000, 4.04040422e-003
1.98960102e+000, 5.05050551e-003
1.98657751e+000, 6.06060680e-003
1.98355377e+000, 7.07070809e-003
1.98052979e+000, 8.08080938e-003
1.97750616e+000, 9.09091067e-003
1.97423768e+000, 1.01010120e-002
1.96919334e+000, 1.11111132e-002
1.96414912e+000, 1.21212145e-002
1.95910478e+000, 1.31313158e-002
1.95406055e+000, 1.41414171e-002
1.94864929e+000, 1.51515184e-002
1.94158638e+000, 1.61616188e-002
1.93452334e+000, 1.71717200e-002
1.92746019e+000, 1.81818213e-002
1.92039728e+000, 1.91919226e-002
1.91284513e+000, 2.02020239e-002
1.90376389e+000, 2.12121252e-002
1.89468241e+000, 2.22222265e-002
1.88560081e+000, 2.32323278e-002
1.87651920e+000, 2.42424291e-002
1.86682606e+000, 2.52525304e-002
1.85572553e+000, 2.62626316e-002
1.84462512e+000, 2.72727329e-002
1.83352470e+000, 2.82828342e-002
1.82242417e+000, 2.92929355e-002
1.81058955e+000, 3.03030368e-002
1.79746997e+000, 3.13131362e-002
1.78435016e+000, 3.23232375e-002
1.77123046e+000, 3.33333388e-002
1.75811064e+000, 3.43434401e-002
1.74413431e+000, 3.53535414e-002
1.72899497e+000, 3.63636427e-002
1.71385550e+000, 3.73737440e-002
1.69871616e+000, 3.83838452e-002
1.68357682e+000, 3.93939465e-002
1.66745818e+000, 4.04040478e-002
1.65029883e+000, 4.14141491e-002
1.63313937e+000, 4.24242504e-002
1.61598015e+000, 4.34343517e-002
1.59882069e+000, 4.44444530e-002
1.58055937e+000, 4.54545543e-002
1.56137967e+000, 4.64646555e-002
1.54219985e+000, 4.74747568e-002
1.52302003e+000, 4.84848581e-002
1.50384045e+000, 4.94949594e-002
1.48343599e+000, 5.05050607e-002
1.46223569e+000, 5.15151620e-002
1.44103539e+000, 5.25252633e-002
1.41983509e+000, 5.35353646e-002
1.39863467e+000, 5.45454659e-002
1.37608719e+000, 5.55555671e-002
1.35286593e+000, 5.65656684e-002
1.32964468e+000, 5.75757697e-002
1.30642343e+000, 5.85858710e-002
1.28320229e+000, 5.95959723e-002
1.25851142e+000, 6.06060736e-002
1.23326910e+000, 6.16161749e-002
1.20802689e+000, 6.26262724e-002
1.18278468e+000, 6.36363700e-002
1.15754235e+000, 6.46464676e-002
1.13070810e+000, 6.56565651e-002
1.10344481e+000, 6.66666627e-002
1.07618141e+000, 6.76767603e-002
1.04891801e+000, 6.86868578e-002
1.02165473e+000, 6.96969554e-002
9.92676616e-001, 7.07070529e-002
9.63391781e-001, 7.17171505e-002
9.34107423e-001, 7.27272481e-002
9.04822707e-001, 7.37373456e-002
8.75537992e-001, 7.47474432e-002
8.44415903e-001, 7.57575408e-002
8.13109875e-001, 7.67676383e-002
7.81803727e-001, 7.77777359e-002
7.50497580e-001, 7.87878335e-002
7.19191432e-001, 7.97979310e-002
6.85925722e-001, 8.08080286e-002
6.52598381e-001, 8.18181261e-002
6.19271040e-001, 8.28282237e-002
5.85943639e-001, 8.38383213e-002
5.52555501e-001, 8.48484188e-002
5.17209053e-001, 8.58585164e-002
4.81862694e-001, 8.68686140e-002
4.46516126e-001, 8.78787115e-002
4.11169648e-001, 8.88888091e-002
3.75640750e-001, 8.98989066e-002
3.38282287e-001, 9.09090042e-002
3.00923765e-001, 9.19191018e-002
2.63565183e-001, 9.29291993e-002
2.26206630e-001, 9.39392969e-002
1.88542813e-001, 9.49493945e-002
1.49165854e-001, 9.59594920e-002
1.09788895e-001, 9.69695896e-002
7.04119429e-002, 9.79796872e-002
3.10349893e-002, 9.89897847e-002
0.00000000e+000, 9.99998823e-002


